,影片,年份,时长,评分,票房
0,X-Men: Apocalypse,2016,144min,7.1,155.33
1,Deadpool,2016,108min,8.0,363.02
2,Resident Evil: The Final Chapter,2016,107min,5.6,26.84
3,Captain America: Civil War,2016,147min,7.9,408.08
4,Interstellar,2014,169min,8.6,187.99
5,Doctor Strange,2016,115min,7.6,232.6
6,The Magnificent Seven,2016,132min,6.9,93.38
7,5- 25- 77,2007,113min,7.1,
8,Sausage Party,2016,89min,6.3,97.66
9,Moonlight,2016,111min,7.5,27.85
10,Don't Fuck in the Woods,2016,73min,2.7,
11,The Founder,2016,115min,7.2,12.79
12,Lowriders,2016年,99min,6.3,4.21
13,Pirates of the Caribbean: On Stranger Tides,2011,136min,6.7,241.06
14,Miss Sloane,2016,132min,7.3,3.44
15,Fallen,2016,91min,5.6,
16,Star Trek Beyond,2016,122min,7.1,158.8
17,The Last Face,2016,130min,3.7,
18,Star Wars: Episode VII - The Force Awakens,2015,136min,8.1,936.63
19,Underworld: Blood Wars,2016,91min,5.8,30.35
20,Mother's Day,2016,118min,5.6,32.46
21,John Wick,2014,101min,7.2,43.0
22,The Dark Knight,2008,152min,9.0,533.32
23,Silence,2016,161min,7.3,7.08
24,Don't Breathe,2016year,88min,7.2,89.21
25,Me Before You,2016,106min,7.4,56.23
26,Their Finest,2016,117min,7.0,3.18
27,Sully,2016,96min,7.5,125.07
28,Batman v Superman: Dawn of Justice,2016,151min,6.7,330.25
29,The Autopsy of Jane Doe,2016,86min,6.8,
30,The Girl on the Train,2016,112min,6.5,75.31
31,Fifty Shades of Grey,2015,125min,4.1,166.15
32,The Prestige,2006,130min,8.5,53.08
33,Kingsman: The Secret Service,2014,129min,7.7,128.25
34,Patriots Day,2016,133min,7.4,31.86
35,Mad Max: Fury Road,2015,120min,8.1,153.63
36,Wakefield,2016nian,106min,7.5,0.01
37,Deepwater Horizon,2016,107min,7.2,61.28
38,The Promise,2016,133min,5.9,
39,Allied,2016,124min,7.1,40.07
40,A Monster Calls,2016,108min,7.5,3.73
41,Collateral Beauty,2016,97min,6.8,30.98
42,Zootopia,2016,108min,8.1,341.26
43,Pirates of the Caribbean: At World's End,2007,169min,7.1,309.4
44,The Avengers,2012,143min,8.1,623.28
45,Inglourious Basterds,2009,153min,8.3,120.52
46,Pirates of the Caribbean: Dead Man's Chest,2006,151min,7.3,423.03
47,Ghostbusters,2016,116min,5.3,128.34
48,Inception,2010,148min,8.8,292.57
49,Captain Fantastic,2016,118min,7.9,5.88
50,The Wolf of Wall Street,2013,180min,8.2,116.87
51,Gone Girl,2014,149min,8.1,167.74
52,Furious Seven,2015,137min,7.2,350.03
53,Jurassic World,2015,124min,7.0,652.18
54,Live by Night,2016,129min,6.4,10.38
55,Avatar,2009,162min,7.8,760.51
56,The Hateful Eight,2015,187min,7.8,54.12
57,The Accountant,2016,128min,7.4,86.2
58,Prisoners,2013,153min,8.1,60.96
59,Warcraft,2016,123min,7.0,47.17
60,The Help,2011,146min,8.1,169.71
61,War Dogs,2016,114min,7.1,43.02
62,Avengers: Age of Ultron,2015,141min,7.4,458.99
63,The Nice Guys,2016,116min,7.4,36.25
64,Kimi no na wa,2016,106min,8.6,4.68
65,The Void,2016,90min,5.8,0.15
66,Personal Shopper,2016,105min,6.3,1.29
67,The Departed,2006,151min,8.5,132.37
68,Legend,2015,132min,7.0,1.87
69,Thor,2011,115min,7.0,181.02
70,The Martian,2015,144min,8.0,228.43
71,Contratiempo,2016,106min,7.9,
72,The Man from U.N.C.L.E.,2015,116min,7.3,45.43
73,Hell or High Water,2016,102min,7.7,26.86
74,The Comedian,2016,120min,5.4,1.66
75,The Legend of Tarzan,2016,110min,6.3,126.59
76,All We Had,2016,105min,5.8,
77,Ex Machina,2014,108min,7.7,25.44
78,The Belko Experiment,2016,89min,6.3,10.16
79,12 Years a Slave,2013,134min,8.1,56.67
80,The Bad Batch,2016,118min,6.1,
81,300,2006,117min,7.7,210.59
82,Harry Potter and the Deathly Hallows: Part 2,2011,130min,8.1,380.96
83,Office Christmas Party,2016,105min,5.8,54.73
84,The Neon Demon,2016,118min,6.2,1.33
85,Dangal,2016,161min,8.8,11.15
86,10 Cloverfield Lane,2016,104min,7.2,71.9
87,Finding Dory,2016,97min,7.4,486.29
88,Miss Peregrine's Home for Peculiar Children,2016,127min,6.7,87.24
89,Divergent,2014,139min,6.7,150.83
90,Mike and Dave Need Wedding Dates,2016,98min,6.0,46.01
91,Boyka: Undisputed IV,2016,86min,7.4,
92,The Dark Knight Rises,2012,164min,8.5,448.13
93,The Jungle Book,2016,106min,7.5,364.0
94,Transformers: Age of Extinction,2014,165min,5.7,245.43
95,Nerve,2016,96min,6.6,38.56
96,Mamma Mia!,2008,108min,6.4,143.7
97,The Revenant,2015,156min,8.0,183.64
98,Fences,2016,139min,7.3,57.64
99,Into the Woods,2014,125min,6.0,128.0
100,The Shallows,2016,86min,6.4,55.12
101,Whiplash,2014,107min,8.5,13.09
102,Furious 6,2013,130min,7.1,238.67
103,The Place Beyond the Pines,2012,140min,7.3,21.38
104,No Country for Old Men,2007,122min,8.1,74.27
105,The Great Gatsby,2013,143min,7.3,144.81
106,Shutter Island,2010,138min,8.1,127.97
107,Brimstone,2016,148min,7.1,
108,Star Trek,2009,127min,8.0,257.7
109,Diary of a Wimpy Kid,2010,94min,6.2,64.0
110,The Big Short,2015,130min,7.8,70.24
